,task,instruction
451,put_the_mango_in_the_basket_1120,place the mango in the basket
452,put_the_oranges_in_the_basket_1119,place the orange in the basket
453,put_the_sweet_potato_in_the_basket_1122,place the sweet potato in the basket
454,putthebananaonthetable,place the banana in the table
455,red_pepper_in_table,place the red pepper on the table
456,red_pepper_on_plate,place the red pepper on the plate
457,uncap_open_the_trash_can_1104,uncap open the trash can
458,uncap_open_the_trash_can_1105,uncap open the trash can
459,uncap_open_the_trash_can_1106,uncap open the trash can
460,uncap_open_the_trash_can_1107,uncap open the trash can
461,uncap_open_the_trash_can_1108,uncap open the trash can
462,uncap_open_the_trash_can_1111,uncap open the trash can
463,uncap_open_the_trash_can_1112,uncap open the trash can
464,uncap_open_the_trash_can_1113,uncap open the trash can
465,uncap_open_the_trash_can_1114,uncap open the trash can
466,uncap_open_the_trash_can_1118,uncap open the trash can
467,yellow_pepper_on_plate,place the yellow pepper on the plate
468,yellow_pepper_on_plate_copy_1734079761061,place the yellow pepper on the plate
469,241223_upright_cup,upright the cup
470,408-place_upright_mug_on_the_left_middle,place upright mug on the left middle
471,409-place_upright_mug_on_the_right_middle,place upright mug on the right middle
472,410-place_upright_mug_on_randomly_textured_table,place_upright_mug_on_randomly_textured_table
473,411-place_upright_mug_with_one_other,place_upright_mug_with_one_other
474,412-place_upright_mug_with_three_others,place_upright_mug_with_three_others
475,413-place_upright_mug_with_five_others,place_upright_mug_with_five_others
476,414-place_upright_mug_with_ten_others,place_upright_mug_with_ten_others
477,415-place_upright_new_style_mug,place_upright_new_style_mug
478,benchmark_sim_07,place upright mug on the middle middle
