"","name","instruction"
"440","put_the_bread_on_a_table_from_a_plate","put the bread on a table from a plate"
"441","put_the_bread_on_a_wooden_plate","put the bread on a wooden plate"
"442","put_the_bread_on_a_wooden_plate1","put the bread on a wooden plate1"
"443","put_the_bread_in_a_basket_on_a_table","put the bread in a basket on a table"
"444","put_the_bread_on_a_table_in_a_basket","put the bread on a table in a basket"
"445","put_the_bread_on_a_plate_in_a_basket","put the bread on a plate in a basket"
"446","put_the_bread_on_the_table_in_a_basket","put the bread on the table in a basket"
"447","put_the_bread_into_plate","put the bread into plate"
"448","open_trash_bin","Open trash bin "
"449","close_trash_bin","Close trash bin"
"450","press_down_toaster","Press down toaster"
"451","rotate_green_pot_handle","Rotate green pot handle"
"452","place_yellow_banana_on_plastic_plate","Place yellow banana on plastic plate"
"453","pick_up_marker_and_place_to_the_left_of_pen_holder","Pick up marker and place to the left of pen holder"
"454","left_hand_place_marker_in_pen_holder","Left hand places marker in pen holder"
"455","the_lemon_in_the_right_hand_is_placed_in_the_trash_can","the lemon in the right hand is placed in the trash can"
"456","put_the_pear_in_right_hand_on_the_plate","put the pear in right hand on the plate"
"457","right_hand_pick_cup_in_the_box","right hand pick cup in the box"
"458","right_hand_put_starfruit_on_the_plate","right hand put starfruit on the plate "
"459","right_hand_put_yellow_pepper_on_the_plate","right hand put pepper on the plate "
"460","right_hand_put_red_pepper_on_the_plate","right hand put red pepper on the plate "
"461","close_cabinet_drawer","close cabinet drawer"
"462","put_the_potato_in_the_blue_pot","put the potato in the blue pot"
"463","open_the_drawer_under_the_combination_cabinet","Open the drawer under the combination cabinet"
"464","put_the_water_cup_in_front_of_the_bread_machine","put the water cup in front of the bread machine"
"465","close_the_drawer_under_the_combination_cabinet","Close the drawer under the combination cabinet"
"466","upright_white_cup","Upright white cup"
"467","pick_up_tennis_ball_and_place_it_in_box","Pick up the tennis ball and place it in the box."
"468","lift_pot_lid_and_place_it_to_the_right_of_the_pot","Lift the pot lid and place it to the right of the pot."
"469","left_hand_lift_pot_lid_and_place_it_to_the_left_of_the_pot"," left hand lift pot lid and place it to the left of the pot"
"470","left_hand_pick_up_tennis_ball_and_place_it_in_box"," left hand pick up tennis ball and place it in box"
"471","put_the_orange_into_the_box_with_left_hand","put the oranges into the box with left hand"
"472","open_the_lid_with_left_hand_and_place_it_on_the_left_side_of_the_pot","open the lid with left hand and place it on the left side of the pot"
"473","left_hand_put_the_pear_in_the_bowl","left hand put the pear in the bowl "
"474","left_hand_place_the_yellow_square_on_the_pink_plate","left hand place the yellow square on the pink plate"
"475","left_had_place_the_cup_on_the_left_side_of_the_plate","left hand place the cup on the left side of the plate"
"476","left_had_put_red_apple_in_plate","left had put red apple in plate"
"477","left_hand_put_the_red_chili_pepper_on_the_plate","left hand put the red chili pepper on the plate"
"478","left_hand_put_the_brown_hippopotamus_in_the_blue_box","left hand put the brown hippopotamus in the blue box"
"479","left_hand_put_the_white_car_in_the_blue_box","left hand put the white car in the blue box"
"480","left_hand_put_the_white_doll_in_the_blue_box","left hand put the white doll in the blue box"
"481","pick_and_place_01_tienkung","pick and place 01"
"482","pick_and_place_02_tienkung","pick and place 02"
"483","pick_and_place_05_tienkung","pick up cup and place in cup with left hand"
"484","pick_and_place_06_tienkung","pick up cup and place in cup with right hand"
"485","both_pour_water","pour water with both arm"
"486","left_place_gray_plate_from_low_rack_on_left_of_table","pick gray plate from plate low rack and place it on table with left arm"
"487","left_place_gray_plate_on_lower_rack","pick gray plate from table and place it on plate lower rack with left arm"
"488","left_push_plate_to_right_of_table","push gray plate to right table with left arm"
"489","right_slide_close_drawer","slide close drawer with right arm"
"490","right_slide_open_drawer","slide open drawer with right arm"
"491","clean_table","clean table; pick rubbish on the table and place in the dustbin"
"492","pick_up_paper_ball_place_in_dustbin","pick up paper ball place in dustbin"
"493","pick_up_paper_cup_place_in_dustbin","pick up paper cup place in dustbin"
"494","pick_up_foil_plate_place_in_dustbin","pick up foil plate and place in dustbin"
"496","cucumbers_on_a_ceramic_plate_1","Cucumbers on a ceramic plate"
"497","241021_close_trash_bin_1","Close the trash bin"
"498","241021_insert_marker_1","Insert the marker"
"499","241021_open_trash_bin_1","Open the trash bin"
"500","241021_remove_marker_1","Remove the marker"
"501","241022_lamp_off_1","Turn off the lamp"
"502","241022_lamp_on_1","Turn on the lamp"
"503","241022_side_pull_close_drawer_1","Close the drawer by pulling from the side"
"504","241022_side_pull_open_drawer_1","Open the drawer by pulling from the side"
"505","241023_pick_pear_from_bowl_1","Pick up a pear from the bowl"
"506","241023_pick_pear_from_bowl_2","Pick up a pear from the bowl"
"507","241023_place_pear_in_bowl_1","Place the pear in the bowl"
"508","241023_place_pear_in_bowl_2","Place the pear in the bowl"
"509","3_eggplantOven","Place the eggplant in the oven"
"510","cap_close_dustbin","Close the dustbin with its cap"
"511","clean_table_2_241211","Clean the table surface"
"512","clean_table_3_241210","Clean the table surface"
"513","clean_table_3_241211","Clean the table surface"
"514","close_cap_lid","Close the lid of the cap"
"515","open_cap_lid","Open the lid of the cap"
"516","place_bread_plate_1128","Place the bread on the plate"
"517","place_bread_plate_241202","Place the bread on the plate"
"518","place_bread_plate_241203","Place the bread on the plate"
"519","place_bread_plate_241204_pro5","Place the bread on the plate"
"520","place_bread_plate_241205_pro3","Place the bread on the plate"
"521","place_bread_table_1128","Place the bread on the table"
"522","place_in_bread_on_plate_2","Put the bread onto the plate"
"523","place_paper_cup_dustbin_241212","Dispose of the paper cup in the dustbin"
"524","place_plate_table_241211","Place the plate on the table"
"525","place_plate_table_241211_12","Place the plate on the table"
"526","place_plate_table_241212","Place the plate on the table"
"527","slide_close_drawer_1_1","Close the drawer by sliding it"
"528","slide_open_drawer_1","Open the drawer by sliding it"
"529","stick_target_blue_on_the_pink_obejct","Stick the blue target onto the pink object"
